Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
12/29/2019,62,PM2.5,Flemington,34-019-0001,AQS,13,32,10,19,62,39
12/30/2019,39,NO2,Elizabeth Lab,34-039-0004,AQS,6,32,16,.,21,39
12/31/2019,35,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,30,4,.,35,32
1/1/2020,36,PM2.5,Intermediate School 143,36-061-0115,AQS,2,31,0,.,36,17
1/2/2020,56,PM2.5,Intermediate School 143,36-061-0115,AQS,13,31,9,.,56,39
1/3/2020,68,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,13,19,1,.,68,36
1/4/2020,59,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,8,28,1,.,59,28
1/5/2020,37,PM2.5,CCNY,36-061-0135,AQS,6,33,0,.,37,19
1/6/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,3,31,4,.,47,37
1/7/2020,43,PM2.5,PS 274,36-047-0118,AQS,6,29,11,.,43,38
1/8/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,5,33,4,.,47,28
1/9/2020,43,PM2.5,Intermediate School 143,36-061-0115,AQS,5,30,4,.,43,40
1/10/2020,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,32,3,.,50,41
1/11/2020,52,PM2.5,PS 274,36-047-0118,AQS,6,36,3,.,52,39
1/12/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,3,32,0,.,40,17
1/13/2020,51,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,5,22,0,.,51,27
1/14/2020,60,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,7,20,1,.,60,26
1/15/2020,62,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,6,29,3,.,62,40
1/16/2020,55,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,6,31,1,.,55,25
1/17/2020,38,Ozone,Rockland County,36-087-0005,AirNow,3,38,3,.,37,18
1/18/2020,42,NO2,IS 52,36-005-0110,AQS,5,34,1,.,32,42
1/19/2020,40,PM2.5,Intermediate School 143,36-061-0115,AQS,3,35,0,.,40,21
1/20/2020,39,Ozone,Chester,34-027-3001,AirNow,3,39,3,.,35,18
1/21/2020,45,PM2.5,NEWBURGH,36-071-0002,AQS,6,38,3,.,45,42
1/22/2020,61,NO2,IS 52,36-005-0110,AQS,11,33,4,.,56,61
1/23/2020,76,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,16,29,7,.,76,50
1/24/2020,82,PM2.5,Jersey City Firehouse,34-017-1003,AirNow,15,30,7,.,82,61
1/25/2020,50,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,6,36,11,.,50,31
1/26/2020,30,PM2.5,Elizabeth Lab,34-039-0004,AirNow,7,24,1,.,30,23
1/27/2020,35,PM2.5,Elizabeth Lab,34-039-0004,AirNow,9,27,4,.,35,25
1/28/2020,37,Ozone,Rockland County,36-087-0005,AirNow,3,37,3,.,30,18
1/29/2020,37,Ozone,Chester,34-027-3001,AirNow,5,37,1,.,29,23
1/30/2020,42,NO2,QUEENS COLLEGE 2,36-081-0124,AQS,5,33,3,.,40,42
1/31/2020,54,PM2.5,Intermediate School 143,36-061-0115,AQS,8,33,1,.,54,43
2/1/2020,70,PM2.5,IS 52,36-005-0110,AQS,7,29,1,.,70,30
2/2/2020,57,PM2.5,IS 52,36-005-0110,AQS,8,28,0,.,57,23
2/3/2020,54,PM2.5,Newark Firehouse,34-013-0003,AirNow,9,34,3,19,54,42
2/4/2020,68,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,17,33,3,.,68,43
2/5/2020,33,Ozone,MT NINHAM,36-079-0005,AQS,13,33,19,.,31,16
2/6/2020,45,PM2.5,Elizabeth Lab,34-039-0004,AirNow,6,29,3,.,45,18
2/7/2020,36,PM2.5,Elizabeth Lab,34-039-0004,AirNow,5,34,6,.,36,23
2/8/2020,47,PM2.5,Intermediate School 143,36-061-0115,AQS,6,35,1,.,47,26
2/9/2020,54,PM2.5,Newark Firehouse,34-013-0003,AirNow,7,37,3,13,54,32
2/10/2020,45,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,10,35,3,.,45,32
2/11/2020,53,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,10,32,1,.,53,29
2/12/2020,45,PM2.5,IS 52,36-005-0110,AQS,6,36,3,.,45,24
2/13/2020,46,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,7,32,1,.,46,36
2/14/2020,34,PM2.5,Intermediate School 143,36-061-0115,AQS,5,34,3,.,34,15
2/15/2020,40,PM2.5,NEWBURGH,36-071-0002,AQS,5,33,1,8,40,26
2/16/2020,52,PM2.5,IS 52,36-005-0110,AQS,9,32,3,.,52,39
2/17/2020,56,PM2.5,Newark Firehouse,34-013-0003,AirNow,13,38,3,.,56,28
2/18/2020,53,PM2.5,Newark Firehouse,34-013-0003,AirNow,7,35,7,.,53,22
2/19/2020,39,Ozone,Chester,34-027-3001,AirNow,7,39,3,.,35,27
2/20/2020,38,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,3,38,3,.,28,11
2/21/2020,39,Ozone,MT NINHAM,36-079-0005,AQS,7,39,1,6,25,25
2/22/2020,45,PM2.5,Flemington,34-019-0001,AirNow,8,40,3,.,45,40
2/23/2020,54,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,10,44,4,.,54,51
2/24/2020,74,PM2.5,QUEENS COLLEGE 2,36-081-0124,AQS,11,44,6,.,74,60
2/25/2020,62,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,9,32,3,.,62,44
2/26/2020,54,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,5,40,0,.,54,17
2/27/2020,39,Ozone,MILLBROOK,36-027-0007,AQS,3,39,0,5,20,10
2/28/2020,39,Ozone,MT NINHAM,36-079-0005,AQS,3,39,1,.,36,22
2/29/2020,36,Ozone,MILLBROOK,36-027-0007,AQS,3,36,1,.,30,13
3/1/2020,41,Ozone,Chester,34-027-3001,AirNow,3,41,.,.,30,.
