,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
32,2019-02-02,86,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,22,0.0,32.0,86.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
33,2019-02-03,64,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,18,0.0,22.0,64.0,18.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
34,2019-02-04,56,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,21,0.0,18.0,56.0,24.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
35,2019-02-05,30,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,30,0.0,11.0,30.0,25.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
36,2019-02-06,31,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,27,0.0,9.0,31.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
37,2019-02-07,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0.0,9.0,25.0,19.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
38,2019-02-08,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0.0,19.0,23.0,13.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
39,2019-02-09,32,PM2.5,MILWAUKEE - COLLEGE AVE. PARK & RIDE,55-079-0058,AQS,3,28,0.0,15.0,32.0,29.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
40,2019-02-10,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,28,0.0,19.0,60.0,25.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
41,2019-02-11,64,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,28,0.0,18.0,64.0,11.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
42,2019-02-12,34,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0.0,11.0,34.0,25.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
43,2019-02-13,42,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,33,0.0,22.0,42.0,25.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
44,2019-02-14,61,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,33,0.0,25.0,61.0,33.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
