Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/11/2019,34,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,34,3,19,30,.
3/12/2019,31,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,31,1,10,22,.
3/13/2019,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,35,0,10,31,.
3/14/2019,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,37,0,11,28,.
3/15/2019,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,35,1,19,31,.
3/16/2019,39,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,39,1,17,33,.
3/17/2019,45,PM2.5,Idaho City,16-015-0001,AQS,9,37,0,19,45,.
3/18/2019,47,PM2.5,Idaho City,16-015-0001,AQS,10,37,1,29,47,.
3/19/2019,42,Ozone,Meridian - St. Luke's,16-001-0010,AQS,10,42,0,26,33,.
3/20/2019,42,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,42,1,28,40,.
3/21/2019,39,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,39,3,28,36,.
3/22/2019,36,PM2.5,Idaho City,16-015-0001,AQS,7,33,1,28,36,.
3/23/2019,35,PM2.5,Idaho City,16-015-0001,AQS,9,34,1,9,35,.
3/24/2019,32,PM2.5,Idaho City,16-015-0001,AQS,6,32,1,6,32,.
3/25/2019,45,PM2.5,Idaho City,16-015-0001,AQS,5,39,1,14,45,.
3/26/2019,47,PM2.5,Idaho City,16-015-0001,AQS,6,33,1,16,47,.
3/27/2019,33,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,33,1,11,25,.
3/28/2019,39,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,39,1,7,25,.
3/29/2019,38,Ozone,Meridian - St. Luke's,16-001-0010,AQS,5,38,1,12,31,.
3/30/2019,36,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,36,1,13,30,.
3/31/2019,41,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,41,1,12,30,.
4/1/2019,36,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,36,1,13,28,18
4/2/2019,26,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,26,1,13,24,24
4/3/2019,27,PM2.5,Meridian - St. Luke's,16-001-0010,AQS,6,27,1,10,27,17
4/4/2019,31,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,31,0,10,22,17
4/5/2019,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,35,0,9,25,21
4/6/2019,36,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,36,0,9,20,16
