Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
12/16/2019,54,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,54,11
12/17/2019,54,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,11,54,20
12/18/2019,48,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,48,13
12/19/2019,42,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,42,30
12/20/2019,81,PM2.5,Smoky Row Near Road,39-049-0038,AQS,8,.,1,.,81,34
12/21/2019,64,PM2.5,Smoky Row Near Road,39-049-0038,AQS,8,.,1,.,64,27
12/22/2019,72,PM2.5,Smoky Row Near Road,39-049-0038,AQS,11,.,1,.,72,30
12/23/2019,72,PM2.5,Smoky Row Near Road,39-049-0038,AQS,11,.,1,28,72,42
12/24/2019,62,PM2.5,Smoky Row Near Road,39-049-0038,AQS,13,.,3,.,62,47
12/25/2019,66,PM2.5,Smoky Row Near Road,39-049-0038,AQS,6,.,1,.,66,30
12/26/2019,38,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,1,.,38,26
12/27/2019,38,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,.,.,38,13
12/28/2019,57,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,57,11
12/29/2019,40,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,6,40,15
12/30/2019,11,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,11,8
12/31/2019,15,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,15,6
1/1/2020,24,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,24,10
1/2/2020,17,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,17,15
1/3/2020,23,NO2,Fairgrounds,39-049-0034,AQS,2,.,0,.,18,23
1/4/2020,40,PM2.5,Maple Canyon,39-049-0081,AQS,0,.,0,7,40,7
1/5/2020,24,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,24,9
1/6/2020,25,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,25,24
1/7/2020,37,PM2.5,Smoky Row Near Road,39-049-0038,AQS,7,.,0,.,37,33
1/8/2020,21,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,21,15
1/9/2020,22,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,4,.,22,19
1/10/2020,29,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,9,29,21
1/11/2020,13,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,13,6
1/12/2020,16,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,16,14
1/13/2020,28,PM2.5,New Albany,39-049-0029,AQS,3,.,0,.,28,18
1/14/2020,50,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,50,17
1/15/2020,47,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,47,19
1/16/2020,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,8,45,5
1/17/2020,19,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,19,14
1/18/2020,18,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,18,9
