,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
177,2019-06-27,32,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,32,1,.,21.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
178,2019-06-28,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,31,1,.,21.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
179,2019-06-29,39,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,39,1,8,30.0,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
180,2019-06-30,44,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,44,1,.,28.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
181,2019-07-01,43,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,43,3,.,29.0,35.0,47.6062,-122.3321,Seattle,2020-03-23,744955
182,2019-07-02,30,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,7,24,1,5,30.0,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
183,2019-07-03,31,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,21,1,.,31.0,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
184,2019-07-04,69,PM2.5,PUYALLUP - 128TH ST,53-053-1018,AQS,7,32,4,.,69.0,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
185,2019-07-05,77,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,20,1,9,77.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
186,2019-07-06,30,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,6,26,1,.,30.0,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
187,2019-07-07,30,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,5,23,1,.,30.0,20.0,47.6062,-122.3321,Seattle,2020-03-23,744955
188,2019-07-08,34,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,7,31,3,7,34.0,34.0,47.6062,-122.3321,Seattle,2020-03-23,744955
189,2019-07-09,40,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,26,3,.,40.0,31.0,47.6062,-122.3321,Seattle,2020-03-23,744955
190,2019-07-10,25,PM2.5,KENT - JAMES & CENTRAL,53-033-2004,AirNow,6,21,1,.,25.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
191,2019-07-11,26,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,19,.,6,25.0,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
192,2019-07-12,31,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,31,3,.,29.0,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
193,2019-07-13,28,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,5,27,1,.,28.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
194,2019-07-14,35,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,5,35,1,7,32.0,20.0,47.6062,-122.3321,Seattle,2020-03-23,744955
195,2019-07-15,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,31,3,.,25.0,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
196,2019-07-16,32,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,27,4,.,29.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
197,2019-07-17,25,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,25,1,4,19.0,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
198,2019-07-18,28,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,28,1,.,24.0,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
199,2019-07-19,28,Ozone,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),53-033-0010,AQS,6,28,1,.,25.0,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
200,2019-07-20,51,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,5,37,1,8,51.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
201,2019-07-21,47,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,47,1,.,34.0,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
202,2019-07-22,45,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,6,45,1,.,26.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
203,2019-07-23,30,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,30,1,7,25.0,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
204,2019-07-24,34,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,34,1,.,25.0,20.0,47.6062,-122.3321,Seattle,2020-03-23,744955
205,2019-07-25,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,41,1,.,28.0,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
206,2019-07-26,43,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,43,6,7,29.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
207,2019-07-27,29,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,29,1,.,23.0,21.0,47.6062,-122.3321,Seattle,2020-03-23,744955
208,2019-07-28,38,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,38,1,.,23.0,14.0,47.6062,-122.3321,Seattle,2020-03-23,744955
209,2019-07-29,40,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,40,3,11,34.0,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
210,2019-07-30,42,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,36,1,.,28.0,42.0,47.6062,-122.3321,Seattle,2020-03-23,744955
