Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
5/20/2019,54,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,54,1,.,25,26
5/21/2019,45,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,5,42,1,5,45,42
5/22/2019,46,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,46,3,.,46,35
5/23/2019,52,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,7,45,3,.,52,51
5/24/2019,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,38,1,13,40,22
5/25/2019,45,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,45,1,.,24,28
5/26/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,8,44,1,.,36,37
5/27/2019,53,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,41,1,10,53,26
5/28/2019,51,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AQS,6,31,1,.,51,25
5/29/2019,44,PM2.5,Tukwila Allentown,53-033-0069,AQS,7,44,1,.,44,42
5/30/2019,52,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,35,3,14,52,46
5/31/2019,54,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,36,3,.,54,41
6/1/2019,41,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,41,1,.,41,38
6/2/2019,37,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,37,1,13,36,25
6/3/2019,36,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,5,36,1,.,30,19
6/4/2019,41,Ozone,NORTH BEND - NORTH BEND WAY,53-033-0017,AQS,7,41,1,.,28,35
6/5/2019,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,36,1,8,27,32
6/6/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,31,1,.,20,26
6/7/2019,29,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,29,3,.,18,25
6/8/2019,32,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,5,32,1,6,25,16
6/9/2019,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,39,1,.,23,16
6/10/2019,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,39,1,.,23,26
6/11/2019,48,Ozone,ENUMCLAW - MUD MTN (Army Corp of Engineers site),53-033-0023,AQS,6,48,1,9,29,26
6/12/2019,66,NO2,Seattle-10th & Weller,53-033-0030,AQS,8,51,3,.,47,66
6/13/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,44,1,.,42,36
6/14/2019,32,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,5,26,.,7,32,23
6/15/2019,36,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,6,36,.,.,36,35
6/16/2019,37,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,36,.,.,32,37
6/17/2019,32,NO2,Seattle-10th & Weller,53-033-0030,AQS,6,31,1,7,27,32
6/18/2019,26,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,26,1,.,23,19
6/19/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,31,1,.,24,21
