Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/6/2019,44,NO2,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS,7,38,4,28,40,44
3/7/2019,55,PM2.5,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS,7,43,3,40,55,45
3/8/2019,70,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,17,44,27,52,70,49
3/9/2019,75,PM2.5,Military Park (GHIB),26-163-0100,AQS,19,54,72,49,75,47
3/10/2019,60,PM2.5,Southwestern H.S.,26-163-0015,AQS,19,46,16,19,60,21
3/11/2019,56,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,50,7,36,56,38
3/12/2019,66,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,44,50,32,66,57
3/13/2019,60,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,15,33,52,26,60,41
3/14/2019,65,SO2,Southwestern H.S.,26-163-0015,AQS,18,37,65,26,64,38
3/15/2019,44,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,37,7,13,44,19
3/16/2019,39,Ozone,Port Huron,26-147-0005,AQS,9,39,7,19,28,23
3/17/2019,45,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,39,23,14,45,42
3/18/2019,75,PM2.5,Military Park (GHIB),26-163-0100,AQS,10,41,37,28,75,42
3/19/2019,78,PM2.5,Military Park (GHIB),26-163-0100,AQS,14,46,39,58,78,52
3/20/2019,74,PM2.5,Military Park (GHIB),26-163-0100,AQS,11,44,52,29,74,42
3/21/2019,61,PM2.5,Southwestern H.S.,26-163-0015,AQS,8,38,20,24,61,38
3/22/2019,50,PM10,,26-163-1005,AQS,8,36,9,50,38,27
3/23/2019,43,Ozone,Port Huron,26-147-0005,AQS,9,43,17,25,40,33
3/24/2019,68,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,47,27,31,68,39
3/25/2019,40,Ozone,Port Huron,26-147-0005,AQS,16,40,21,18,28,27
3/26/2019,51,PM2.5,Military Park (GHIB),26-163-0100,AQS,15,42,24,24,51,42
3/27/2019,58,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,11,43,56,36,58,42
3/28/2019,74,PM2.5,Southwestern H.S.,26-163-0015,AQS,15,45,16,49,74,31
3/29/2019,44,SO2,BELLE RIVER MILLS COMPRESSOR STATION,26-147-0913,AQS,11,38,44,13,21,27
3/30/2019,41,Ozone,Port Huron,26-147-0005,AQS,15,41,19,10,25,24
3/31/2019,43,Ozone,Port Huron,26-147-0005,AQS,8,43,3,14,29,18
4/1/2019,44,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,40,43,30,44,42
4/2/2019,69,SO2,Southwestern H.S.,26-163-0015,AQS,34,40,69,27,60,30
4/3/2019,70,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,44,14,68,70,42
4/4/2019,58,PM10,,26-163-1008,AQS,15,39,20,58,52,39
4/5/2019,61,SO2,Port Huron,26-147-0005,AQS,20,38,61,35,58,34
