,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
43,2019-02-13,68,PM2.5,Idaho City,16-015-0001,AQS,10,37,0,5,68.0,.,43.615,-116.2023,Boise,2020-03-25,228790
44,2019-02-14,88,PM2.5,Idaho City,16-015-0001,AQS,10,34,1,6,88.0,.,43.615,-116.2023,Boise,2020-03-25,228790
45,2019-02-15,53,PM2.5,Idaho City,16-015-0001,AQS,8,34,1,9,53.0,.,43.615,-116.2023,Boise,2020-03-25,228790
46,2019-02-16,32,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,32,0,7,27.0,.,43.615,-116.2023,Boise,2020-03-25,228790
47,2019-02-17,51,PM2.5,Nampa - Fire Station,16-027-0002,AQS,8,31,0,6,51.0,.,43.615,-116.2023,Boise,2020-03-25,228790
48,2019-02-18,38,PM2.5,Idaho City,16-015-0001,AQS,7,35,0,8,38.0,.,43.615,-116.2023,Boise,2020-03-25,228790
49,2019-02-19,40,PM2.5,Idaho City,16-015-0001,AQS,8,30,1,16,40.0,.,43.615,-116.2023,Boise,2020-03-25,228790
50,2019-02-20,36,PM2.5,Idaho City,16-015-0001,AQS,8,.,1,12,36.0,.,43.615,-116.2023,Boise,2020-03-25,228790
51,2019-02-21,47,PM2.5,Idaho City,16-015-0001,AQS,8,.,0,10,47.0,.,43.615,-116.2023,Boise,2020-03-25,228790
52,2019-02-22,40,PM2.5,Idaho City,16-015-0001,AQS,8,31,3,14,40.0,.,43.615,-116.2023,Boise,2020-03-25,228790
53,2019-02-23,41,PM2.5,Idaho City,16-015-0001,AQS,8,31,0,6,41.0,.,43.615,-116.2023,Boise,2020-03-25,228790
54,2019-02-24,52,PM2.5,Idaho City,16-015-0001,AQS,7,31,0,6,52.0,.,43.615,-116.2023,Boise,2020-03-25,228790
55,2019-02-25,60,PM2.5,Idaho City,16-015-0001,AQS,7,30,1,22,60.0,.,43.615,-116.2023,Boise,2020-03-25,228790
56,2019-02-26,45,PM2.5,Idaho City,16-015-0001,AQS,7,29,0,6,45.0,.,43.615,-116.2023,Boise,2020-03-25,228790
57,2019-02-27,64,PM2.5,Idaho City,16-015-0001,AQS,9,20,1,14,64.0,.,43.615,-116.2023,Boise,2020-03-25,228790
58,2019-02-28,39,PM2.5,Idaho City,16-015-0001,AQS,8,34,1,10,39.0,.,43.615,-116.2023,Boise,2020-03-25,228790
59,2019-03-01,38,PM2.5,Idaho City,16-015-0001,AQS,9,35,1,16,38.0,.,43.615,-116.2023,Boise,2020-03-25,228790
60,2019-03-02,40,PM2.5,Nampa - Fire Station,16-027-0002,AQS,9,33,1,17,40.0,.,43.615,-116.2023,Boise,2020-03-25,228790
61,2019-03-03,40,PM2.5,Idaho City,16-015-0001,AQS,8,33,1,14,40.0,.,43.615,-116.2023,Boise,2020-03-25,228790
62,2019-03-04,43,PM2.5,Idaho City,16-015-0001,AQS,7,32,0,13,43.0,.,43.615,-116.2023,Boise,2020-03-25,228790
63,2019-03-05,35,PM2.5,Idaho City,16-015-0001,AQS,8,30,0,15,35.0,.,43.615,-116.2023,Boise,2020-03-25,228790
64,2019-03-06,46,PM2.5,Idaho City,16-015-0001,AQS,9,29,1,10,46.0,.,43.615,-116.2023,Boise,2020-03-25,228790
65,2019-03-07,48,PM2.5,Idaho City,16-015-0001,AQS,7,34,1,6,48.0,.,43.615,-116.2023,Boise,2020-03-25,228790
66,2019-03-08,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,37,1,8,33.0,.,43.615,-116.2023,Boise,2020-03-25,228790
67,2019-03-09,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,2,35,1,9,30.0,.,43.615,-116.2023,Boise,2020-03-25,228790
68,2019-03-10,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,2,35,3,9,25.0,.,43.615,-116.2023,Boise,2020-03-25,228790
69,2019-03-11,34,Ozone,Meridian - St. Luke's,16-001-0010,AQS,8,34,3,19,30.0,.,43.615,-116.2023,Boise,2020-03-25,228790
70,2019-03-12,31,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,31,1,10,22.0,.,43.615,-116.2023,Boise,2020-03-25,228790
71,2019-03-13,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,6,35,0,10,31.0,.,43.615,-116.2023,Boise,2020-03-25,228790
72,2019-03-14,37,Ozone,Meridian - St. Luke's,16-001-0010,AQS,7,37,0,11,28.0,.,43.615,-116.2023,Boise,2020-03-25,228790
73,2019-03-15,35,Ozone,Meridian - St. Luke's,16-001-0010,AQS,9,35,1,19,31.0,.,43.615,-116.2023,Boise,2020-03-25,228790
