Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/2/2019,58,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,3,42,0,.,58,13
3/3/2019,43,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,43,0,.,25,4
3/4/2019,43,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,43,0,13,18,6
3/5/2019,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,.,31,8
3/6/2019,53,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,42,0,.,53,33
3/7/2019,31,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,31,0,5,27,24
3/8/2019,36,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,5,27,0,.,36,32
3/9/2019,38,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,38,0,.,33,25
3/10/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,2,41,0,11,34,19
3/11/2019,38,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,7,38,0,.,33,38
3/12/2019,37,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,37,0,.,16,32
3/13/2019,30,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,30,0,6,23,19
3/14/2019,31,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,5,31,.,.,28,21
3/15/2019,40,Ozone,Portland - SE Lafayette,41-051-0080,AirNow,3,40,1,.,33,30
3/16/2019,53,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,40,0,17,53,25
3/17/2019,45,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,45,0,.,45,18
3/18/2019,44,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,44,0,.,24,9
3/19/2019,45,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,45,0,8,23,7
3/20/2019,47,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,47,0,.,22,21
3/21/2019,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,35,0,.,30,27
3/22/2019,38,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,7,26,1,13,38,19
3/23/2019,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,38,0,.,31,19
3/24/2019,42,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,42,0,.,27,26
3/25/2019,34,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,5,31,0,7,34,21
3/26/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,41,0,.,18,26
3/27/2019,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,34,0,.,23,30
3/28/2019,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,32,0,9,21,18
3/29/2019,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,36,0,.,31,17
3/30/2019,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,34,0,.,32,21
3/31/2019,46,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,7,35,0,10,46,27
4/1/2019,38,PM2.5,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,8,31,0,.,38,24
4/2/2019,34,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,3,20,0,.,34,27
4/3/2019,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,35,0,7,16,22
4/4/2019,26,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,25,0,.,26,23
4/5/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,.,18,17
4/6/2019,41,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,41,0,6,21,13
4/7/2019,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,35,0,.,13,19
4/8/2019,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,36,.,.,18,21
4/9/2019,38,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,38,0,9,17,28
4/10/2019,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,34,0,.,13,8
4/11/2019,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,2,32,0,.,14,7
4/12/2019,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,32,0,3,13,19
4/13/2019,33,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,33,0,.,15,15
