,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
38,2019-02-08,53,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,5,28,0,16,53.0,25.0,45.5051,-122.675,Portland,2020-03-23,653115
39,2019-02-09,31,Ozone,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,3,31,.,.,26.0,7.0,45.5051,-122.675,Portland,2020-03-23,653115
40,2019-02-10,30,Ozone,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,3,30,.,.,19.0,8.0,45.5051,-122.675,Portland,2020-03-23,653115
41,2019-02-11,37,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,37,.,1,11.0,19.0,45.5051,-122.675,Portland,2020-03-23,653115
42,2019-02-12,36,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,36,0,.,15.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
43,2019-02-13,35,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,7,34,1,.,35.0,29.0,45.5051,-122.675,Portland,2020-03-23,653115
44,2019-02-14,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,35,0,4,17.0,20.0,45.5051,-122.675,Portland,2020-03-23,653115
45,2019-02-15,33,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,33,0,.,15.0,13.0,45.5051,-122.675,Portland,2020-03-23,653115
46,2019-02-16,28,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,28,0,.,23.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
47,2019-02-17,42,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,28,0,7,42.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
48,2019-02-18,61,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,9,19,1,.,61.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
49,2019-02-19,35,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,26,0,.,35.0,24.0,45.5051,-122.675,Portland,2020-03-23,653115
50,2019-02-20,30,NO2,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,6,29,0,6,27.0,30.0,45.5051,-122.675,Portland,2020-03-23,653115
51,2019-02-21,43,PM2.5,Portland Cully Helensview School (PCH),41-051-2011,AQS,6,25,0,.,43.0,34.0,45.5051,-122.675,Portland,2020-03-23,653115
52,2019-02-22,48,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,7,25,0,.,48.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
53,2019-02-23,33,PM2.5,YACOLT - YACOLT RD,53-011-0022,AQS,5,30,0,5,33.0,17.0,45.5051,-122.675,Portland,2020-03-23,653115
54,2019-02-24,35,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,35,0,.,25.0,18.0,45.5051,-122.675,Portland,2020-03-23,653115
55,2019-02-25,34,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,34,0,.,19.0,8.0,45.5051,-122.675,Portland,2020-03-23,653115
56,2019-02-26,40,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,40,0,17,28.0,21.0,45.5051,-122.675,Portland,2020-03-23,653115
