,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
36,2019-02-06,55,SO2,Port Huron,26-147-0005,AQS,10,19,55.0,15.0,51.0,29.0,42.3314,-83.0458,Detroit,2020-03-24,672662
37,2019-02-07,42,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,22,7.0,11.0,42.0,24.0,42.3314,-83.0458,Detroit,2020-03-24,672662
38,2019-02-08,89,PM10,,26-163-1006,AQS,8,31,7.0,89.0,51.0,22.0,42.3314,-83.0458,Detroit,2020-03-24,672662
39,2019-02-09,44,SO2,Military Park (GHIB),26-163-0100,AQS,9,30,44.0,21.0,34.0,31.0,42.3314,-83.0458,Detroit,2020-03-24,672662
40,2019-02-10,45,PM2.5,Allen Park,26-163-0001,AQS,10,29,33.0,26.0,45.0,34.0,42.3314,-83.0458,Detroit,2020-03-24,672662
41,2019-02-11,62,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,27,21.0,58.0,62.0,26.0,42.3314,-83.0458,Detroit,2020-03-24,672662
42,2019-02-12,57,SO2,Port Huron,26-147-0005,AQS,9,31,57.0,23.0,33.0,31.0,42.3314,-83.0458,Detroit,2020-03-24,672662
43,2019-02-13,53,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,8,31,1.0,15.0,53.0,26.0,42.3314,-83.0458,Detroit,2020-03-24,672662
44,2019-02-14,59,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,8,23,29.0,19.0,59.0,42.0,42.3314,-83.0458,Detroit,2020-03-24,672662
45,2019-02-15,52,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,35,9.0,18.0,52.0,25.0,42.3314,-83.0458,Detroit,2020-03-24,672662
46,2019-02-16,43,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,6,35,4.0,17.0,43.0,22.0,42.3314,-83.0458,Detroit,2020-03-24,672662
